geoid,name,B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars),"B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars), Error"
15000US245102604013,"Block Group 3, Baltimore, MD",48042,36357
15000US245102604021,"Block Group 1, Baltimore, MD",52934,9189
15000US245102604022,"Block Group 2, Baltimore, MD",21458,22821
15000US245102604031,"Block Group 1, Baltimore, MD",35313,13201
15000US245102604032,"Block Group 2, Baltimore, MD",0,0
15000US245102604041,"Block Group 1, Baltimore, MD",0,0
15000US245102604042,"Block Group 2, Baltimore, MD",32969,18887
15000US245102604043,"Block Group 3, Baltimore, MD",38875,12858
15000US245102605011,"Block Group 1, Baltimore, MD",36696,11229
15000US245102605012,"Block Group 2, Baltimore, MD",61020,20831
15000US245102605013,"Block Group 3, Baltimore, MD",43882,31851
15000US245102606041,"Block Group 1, Baltimore, MD",23700,14019
15000US245102606042,"Block Group 2, Baltimore, MD",28750,8184
15000US245102606043,"Block Group 3, Baltimore, MD",8834,819
15000US245102606051,"Block Group 1, Baltimore, MD",63875,22079
15000US245102606052,"Block Group 2, Baltimore, MD",28569,3660
15000US245102606053,"Block Group 3, Baltimore, MD",34563,10935
15000US245102606054,"Block Group 4, Baltimore, MD",37650,8602
15000US245102606055,"Block Group 5, Baltimore, MD",48295,42393
15000US245102606056,"Block Group 6, Baltimore, MD",0,0
15000US245102607001,"Block Group 1, Baltimore, MD",34094,11087
15000US245102607002,"Block Group 2, Baltimore, MD",33173,10114
15000US245102608001,"Block Group 1, Baltimore, MD",33565,14234
15000US245102608002,"Block Group 2, Baltimore, MD",41979,9628
15000US245102609001,"Block Group 1, Baltimore, MD",45984,17708
15000US245102609002,"Block Group 2, Baltimore, MD",88250,20019
15000US245102609003,"Block Group 3, Baltimore, MD",105347,35100
15000US245102610001,"Block Group 1, Baltimore, MD",11771,40757
15000US245102610002,"Block Group 2, Baltimore, MD",18944,2216
15000US245102610003,"Block Group 3, Baltimore, MD",58750,34631
15000US245102610004,"Block Group 4, Baltimore, MD",70793,32017
15000US245102611001,"Block Group 1, Baltimore, MD",79250,30976
15000US245102611002,"Block Group 2, Baltimore, MD",103971,23704
15000US245102701011,"Block Group 1, Baltimore, MD",71094,32954
15000US245102701012,"Block Group 2, Baltimore, MD",49035,13399
15000US245102701021,"Block Group 1, Baltimore, MD",65398,21303
15000US245102701022,"Block Group 2, Baltimore, MD",54545,15355
15000US245102701023,"Block Group 3, Baltimore, MD",54688,33906
15000US245102701024,"Block Group 4, Baltimore, MD",64353,11562
15000US245102702001,"Block Group 1, Baltimore, MD",66083,24598
15000US245102702002,"Block Group 2, Baltimore, MD",60568,18591
15000US245102702003,"Block Group 3, Baltimore, MD",68274,19621
15000US245102703011,"Block Group 1, Baltimore, MD",51691,30300
15000US245102703012,"Block Group 2, Baltimore, MD",46618,18915
15000US245102703013,"Block Group 3, Baltimore, MD",75625,18135
15000US245102703014,"Block Group 4, Baltimore, MD",59779,7731
15000US245102703021,"Block Group 1, Baltimore, MD",67045,14212
15000US245102703022,"Block Group 2, Baltimore, MD",59479,28271
15000US245102704011,"Block Group 1, Baltimore, MD",39554,36973
15000US245102704012,"Block Group 2, Baltimore, MD",77824,25999
15000US245102704013,"Block Group 3, Baltimore, MD",71314,9985
15000US245102704014,"Block Group 4, Baltimore, MD",117241,37607
15000US245102704021,"Block Group 1, Baltimore, MD",94125,25097
15000US245102704022,"Block Group 2, Baltimore, MD",34044,15609
15000US245102704023,"Block Group 3, Baltimore, MD",56953,22906
15000US245102704024,"Block Group 4, Baltimore, MD",69969,15760
15000US245102705011,"Block Group 1, Baltimore, MD",59524,18231
15000US245102705012,"Block Group 2, Baltimore, MD",71957,19590
15000US245102705013,"Block Group 3, Baltimore, MD",74138,6060
15000US245102705014,"Block Group 4, Baltimore, MD",77763,15851
15000US245102705021,"Block Group 1, Baltimore, MD",53636,24821
15000US245102705022,"Block Group 2, Baltimore, MD",58300,7541
15000US245102705023,"Block Group 3, Baltimore, MD",73750,19584
15000US245102705024,"Block Group 4, Baltimore, MD",59600,7446
15000US245102706001,"Block Group 1, Baltimore, MD",74022,9563
15000US245102706002,"Block Group 2, Baltimore, MD",49236,31932
15000US245102706003,"Block Group 3, Baltimore, MD",48029,21295
15000US245102706004,"Block Group 4, Baltimore, MD",68056,33122
15000US245102706005,"Block Group 5, Baltimore, MD",77614,14439
15000US245102706006,"Block Group 6, Baltimore, MD",50694,22412
15000US245102707011,"Block Group 1, Baltimore, MD",38512,8622
15000US245102707021,"Block Group 1, Baltimore, MD",33750,7741
15000US245102707022,"Block Group 2, Baltimore, MD",44688,45410
15000US245102707023,"Block Group 3, Baltimore, MD",44792,16586
15000US245102707031,"Block Group 1, Baltimore, MD",67604,26491
15000US245102707032,"Block Group 2, Baltimore, MD",71382,18991
15000US245102707033,"Block Group 3, Baltimore, MD",71696,23213
15000US245102708011,"Block Group 1, Baltimore, MD",63807,8286
15000US245102708012,"Block Group 2, Baltimore, MD",50851,2803
15000US245102708013,"Block Group 3, Baltimore, MD",38902,22806
15000US245102708014,"Block Group 4, Baltimore, MD",51620,23855
15000US245102708021,"Block Group 1, Baltimore, MD",53406,12769
15000US245102708022,"Block Group 2, Baltimore, MD",27052,15747
15000US245102708023,"Block Group 3, Baltimore, MD",39635,22386
15000US245102708024,"Block Group 4, Baltimore, MD",45978,18145
15000US245102708025,"Block Group 5, Baltimore, MD",49091,18442
15000US245102708031,"Block Group 1, Baltimore, MD",50134,16478
15000US245102708032,"Block Group 2, Baltimore, MD",40192,23932
15000US245102708033,"Block Group 3, Baltimore, MD",38594,25697
15000US245102708041,"Block Group 1, Baltimore, MD",55847,10473
15000US245102708042,"Block Group 2, Baltimore, MD",27813,20813
15000US245102708043,"Block Group 3, Baltimore, MD",67604,39858
15000US245102708044,"Block Group 4, Baltimore, MD",34773,33651
15000US245102708051,"Block Group 1, Baltimore, MD",56220,11636
15000US245102708052,"Block Group 2, Baltimore, MD",42361,4954
15000US245102708053,"Block Group 3, Baltimore, MD",31389,6843
15000US245102708054,"Block Group 4, Baltimore, MD",48413,13671
15000US245102708055,"Block Group 5, Baltimore, MD",80060,19652
15000US245102709011,"Block Group 1, Baltimore, MD",61029,32814
15000US245102709012,"Block Group 2, Baltimore, MD",65266,4633
15000US245102709013,"Block Group 3, Baltimore, MD",42115,17974
15000US245102709021,"Block Group 1, Baltimore, MD",67279,15797
15000US245102709022,"Block Group 2, Baltimore, MD",65727,11993
15000US245102709023,"Block Group 3, Baltimore, MD",60156,18454
15000US245102709031,"Block Group 1, Baltimore, MD",50929,13791
15000US245102709032,"Block Group 2, Baltimore, MD",59250,40125
15000US245102709033,"Block Group 3, Baltimore, MD",35667,18930
15000US245102710011,"Block Group 1, Baltimore, MD",50769,25617
15000US245102710012,"Block Group 2, Baltimore, MD",34038,18021
15000US245102710013,"Block Group 3, Baltimore, MD",34150,5964
15000US245102710021,"Block Group 1, Baltimore, MD",40724,12792
15000US245102710022,"Block Group 2, Baltimore, MD",25536,16248
15000US245102710023,"Block Group 3, Baltimore, MD",31607,21501
15000US245102710024,"Block Group 4, Baltimore, MD",44911,21033
15000US245102710025,"Block Group 5, Baltimore, MD",30568,35054
15000US245102711011,"Block Group 1, Baltimore, MD",45258,34892
15000US245102711012,"Block Group 2, Baltimore, MD",0,0
15000US245102711013,"Block Group 3, Baltimore, MD",45352,14780
15000US245102711021,"Block Group 1, Baltimore, MD",192857,84434
15000US245102711022,"Block Group 2, Baltimore, MD",174125,63441
15000US245102712001,"Block Group 1, Baltimore, MD",80368,57855
15000US245102712002,"Block Group 2, Baltimore, MD",45429,21515
15000US245102712003,"Block Group 3, Baltimore, MD",126771,58647
15000US245102712004,"Block Group 4, Baltimore, MD",246106,56771
15000US245102712005,"Block Group 5, Baltimore, MD",219167,79231
15000US245102712006,"Block Group 6, Baltimore, MD",113854,15382
15000US245102713001,"Block Group 1, Baltimore, MD",135125,15518
15000US245102713002,"Block Group 2, Baltimore, MD",78333,32627
15000US245102713003,"Block Group 3, Baltimore, MD",148750,35708
15000US245102714001,"Block Group 1, Baltimore, MD",189792,97776
15000US245102714002,"Block Group 2, Baltimore, MD",84688,18062
15000US245102714003,"Block Group 3, Baltimore, MD",73967,26638
15000US245102715011,"Block Group 1, Baltimore, MD",120139,36505
15000US245102715012,"Block Group 2, Baltimore, MD",93000,73089
15000US245102715013,"Block Group 3, Baltimore, MD",130500,92003
15000US245102715014,"Block Group 4, Baltimore, MD",144766,28323
15000US245102715015,"Block Group 5, Baltimore, MD",60000,14484
15000US245102715031,"Block Group 1, Baltimore, MD",69420,23378
15000US245102716001,"Block Group 1, Baltimore, MD",21429,30736
15000US245102716002,"Block Group 2, Baltimore, MD",29310,4457
15000US245102716003,"Block Group 3, Baltimore, MD",50109,19385
15000US245102716004,"Block Group 4, Baltimore, MD",20170,6667
15000US245102716005,"Block Group 5, Baltimore, MD",24583,14899
15000US245102716006,"Block Group 6, Baltimore, MD",23718,6800
15000US245102717001,"Block Group 1, Baltimore, MD",9764,15976
15000US245102717002,"Block Group 2, Baltimore, MD",23920,6337
15000US245102717003,"Block Group 3, Baltimore, MD",42645,16838
15000US245102717004,"Block Group 4, Baltimore, MD",32226,8173
15000US245102717005,"Block Group 5, Baltimore, MD",32614,26627
15000US245102717006,"Block Group 6, Baltimore, MD",55463,16783
15000US245102718011,"Block Group 1, Baltimore, MD",45000,82828
15000US245102718012,"Block Group 2, Baltimore, MD",10000,2918
15000US245102718013,"Block Group 3, Baltimore, MD",43341,6996
15000US245102718021,"Block Group 1, Baltimore, MD",29679,8170
15000US245102718022,"Block Group 2, Baltimore, MD",32917,25969
15000US245102718023,"Block Group 3, Baltimore, MD",34219,8988
15000US245102718024,"Block Group 4, Baltimore, MD",34167,28879
15000US245102719001,"Block Group 1, Baltimore, MD",71279,10581
15000US245102719002,"Block Group 2, Baltimore, MD",44410,21412
15000US245102719003,"Block Group 3, Baltimore, MD",48036,33862
15000US245102719004,"Block Group 4, Baltimore, MD",64688,18932
15000US245102719005,"Block Group 5, Baltimore, MD",35109,20117
15000US245102720031,"Block Group 1, Baltimore, MD",61806,18265
15000US245102720032,"Block Group 2, Baltimore, MD",51176,23137
15000US245102720033,"Block Group 3, Baltimore, MD",72024,38723
15000US245102720034,"Block Group 4, Baltimore, MD",43026,15250
15000US245102720035,"Block Group 5, Baltimore, MD",60462,25311
15000US245102720041,"Block Group 1, Baltimore, MD",34583,13985
15000US245102720042,"Block Group 2, Baltimore, MD",57557,8801
15000US245102720051,"Block Group 1, Baltimore, MD",42269,20164
15000US245102720052,"Block Group 2, Baltimore, MD",48854,31625
15000US245102720053,"Block Group 3, Baltimore, MD",52125,15678
15000US245102720061,"Block Group 1, Baltimore, MD",27441,3590
15000US245102720062,"Block Group 2, Baltimore, MD",20769,21559
15000US245102720071,"Block Group 1, Baltimore, MD",31726,11443
15000US245102720072,"Block Group 2, Baltimore, MD",46528,6558
15000US245102720073,"Block Group 3, Baltimore, MD",60117,9733
15000US245102801011,"Block Group 1, Baltimore, MD",59231,15355
15000US245102801012,"Block Group 2, Baltimore, MD",37400,13598
15000US245102801013,"Block Group 3, Baltimore, MD",34219,25908
15000US245102801021,"Block Group 1, Baltimore, MD",21058,28152
15000US245102801022,"Block Group 2, Baltimore, MD",37277,9421
15000US245102801023,"Block Group 3, Baltimore, MD",22946,22381
15000US245102801024,"Block Group 4, Baltimore, MD",36769,5277
15000US245102801025,"Block Group 5, Baltimore, MD",31250,15797
15000US245102801026,"Block Group 6, Baltimore, MD",32946,10454
15000US245102802001,"Block Group 1, Baltimore, MD",53790,40325
15000US245102802002,"Block Group 2, Baltimore, MD",77344,16047
15000US245102802003,"Block Group 3, Baltimore, MD",55855,15093
15000US245102802004,"Block Group 4, Baltimore, MD",70926,40273
15000US245102802005,"Block Group 5, Baltimore, MD",39671,21499
15000US245102802006,"Block Group 6, Baltimore, MD",29107,18871
15000US245102803011,"Block Group 1, Baltimore, MD",16679,35126
15000US245102803012,"Block Group 2, Baltimore, MD",57622,7387
15000US245102803013,"Block Group 3, Baltimore, MD",25458,7795
15000US245102803021,"Block Group 1, Baltimore, MD",40855,20582
15000US245102803022,"Block Group 2, Baltimore, MD",36591,18571
15000US245102804011,"Block Group 1, Baltimore, MD",56250,64803
15000US245102804012,"Block Group 2, Baltimore, MD",60143,2960
15000US245102804013,"Block Group 3, Baltimore, MD",48600,39553
15000US245102804014,"Block Group 4, Baltimore, MD",48125,7294
15000US245102804015,"Block Group 5, Baltimore, MD",45994,15178
15000US245102804021,"Block Group 1, Baltimore, MD",47434,37621
15000US245102804022,"Block Group 2, Baltimore, MD",32366,8866
15000US245102804031,"Block Group 1, Baltimore, MD",28984,37974
15000US245102804032,"Block Group 2, Baltimore, MD",46250,15073
15000US245102804033,"Block Group 3, Baltimore, MD",56332,9180
15000US245102804034,"Block Group 4, Baltimore, MD",50789,31812
15000US245102804035,"Block Group 5, Baltimore, MD",26908,37332
15000US245102804041,"Block Group 1, Baltimore, MD",42083,9066
15000US245102804042,"Block Group 2, Baltimore, MD",0,0
15000US245102805001,"Block Group 1, Baltimore, MD",8743,804
15000US245102805002,"Block Group 2, Baltimore, MD",32917,34875
15000US245102805003,"Block Group 3, Baltimore, MD",12429,6056
15000US245102805004,"Block Group 4, Baltimore, MD",12167,3984
